# Cluster list (688 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
42 18 1.9208902369 0.5574729569 0.2768574305 2.8554889147 0.0632651826 -0.9535001795 0.0990466914 
43 16 2.3268802282 0.3857486245 1.9807850084 3.0478379633 -0.2283378536 -0.4530814137 2.1453222683 
44 14 1.8031188583 0.3301774627 1.4580958307 1.4629643239 -0.2445405028 0.1512446028 -1.0078343689 
45 14 1.8057109649 0.6392432727 0.7098777741 1.911471042 -0.0466555309 0.394087729 -0.9797380074 
46 12 1.5271061003 1.6505403241 0.4283449702 0.2531677474 -0.0524321104 -0.2529908192 0.0462261254 
47 12 1.3272954523 0.6229046574 0.7341119222 0.4046966381 0.0769569194 0.246308524 0.0389599239 
48 12 2.0371820952 3.3277663135 0.4794383158 0.3429062596 0.4132592169 -0.8383532901 -0.0816162634 
49 11 1.3281206785 0.7519439745 0.5087560997 0.5032044625 -0.3033153736 -0.4631582227 0.3055714864 
50 11 1.3560390966 1.1438710163 0.2707013952 0.42426962 -0.1758917355 -0.1824235906 0.0801631928 
51 10 1.2892757713 0.4525196625 0.4687660444 0.7409463076 0.3503375065 -0.0611367818 -0.3190541518 
52 9 1.8185848373 0.3014341778 0.3761631025 2.6296535304 0.260827275 0.5287778432 0.6242185174 
53 9 1.645471685 0.8185196511 0.9710076188 0.9180497962 0.6566070907 0.6837180316 0.7917839529 
54 9 1.5142782723 0.6372994869 0.307214381 1.3485248181 0.167617976 -0.8089114868 -0.2572544633 
55 9 1.1499334815 0.4129066295 0.7636213445 0.1458190379 0.1542979204 -7.1808141111e-04 0.083924803 
56 8 1.3137618518 1.1272417014 0.1051848673 0.4935436344 0.0535584142 0.4289092413 0.1109321322 
57 8 1.8916046321 0.1619124195 0.5151203969 2.9011352679 -0.1522634556 0.5030388592 -0.5790322768 
58 8 1.3090140239 1.1396841745 0.2636198566 0.3102136836 0.3782665467 -0.2272835467 -0.0229384275 
59 8 1.575048452 1.0066867869 0.09815132 1.3759395193 0.1514925262 1.0178601636 0.2080814763 
60 8 1.2901451647 0.4038043769 0.3277529648 0.9329172044 0.1691403278 0.3528784856 0.2249454559 
61 8 1.1551564099 0.6124387836 0.3539506708 0.3679968769 0.0036680301 -0.3423659722 0.1612109446 
62 7 1.0815931026 0.6967524767 0.2424826771 0.2306084857 0.2399370729 -0.0389820943 -0.0589879414 
