# Cluster list (395 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
70 4 0.9345763543 0.6791707419 0.1609288869 0.0333333333 -0.2057919606 -0.1326819545 0.0549253588 
71 3 0.6787910162 0.09721608 0.3487263489 0.0148148148 -0.17706946 0.0277305608 -0.0639616028 
72 3 0.616696314 0.2739784822 0.0915210467 0.0148148148 0.0903477067 -0.0600341108 -0.0096738517 
73 3 0.7767964734 0.4646450663 0.12395288 0.0148148148 0.223422392 -0.0117665537 0.0098287711 
74 3 0.6057471799 0.1144305622 0.2376842689 0.0148148148 0.0685019078 -0.0326851106 0.0132599474 
75 3 0.9067198465 0.7570231489 0.0206732867 0.0444444445 0.12446088 -0.1834244913 -0.0301404171 
76 3 0.6292220429 0.1391979289 0.2419076356 0.0148148148 0.0567208222 0.0155550487 0.0598275516 
77 3 0.9113781116 0.0293459756 0.7568196422 0.0444444445 -0.1242099656 0.0309838668 -0.1832093256 
78 3 0.602533814 0.2027155356 0.1455166467 0.0148148148 0.02122914 0.0135525728 0.0460626819 
79 3 0.5901286614 0.1962810756 0.1371559467 0.0148148148 -0.04344152 -0.0427979004 -0.0169722737 
80 3 0.6975476386 0.3752237067 0.0965341867 0.0148148148 -0.0112186667 -0.0603669004 0.023960857 
81 3 0.9004998427 0.76279554 0.0036599822 0.0444444445 0.04762204 0.1840441686 0.0113263246 
82 3 0.7687847698 0.0358398422 0.5107457356 0.0444444445 0.1127662256 -0.0340134004 -0.1505729859 
83 3 0.7182750381 0.24924458 0.2518596356 0.0148148148 0.1331069133 0.0606423126 0.0290846705 
84 3 0.5577272903 0.1714330867 0.1248118289 0.0148148148 -0.00386691 0.0331269176 -0.0331412619 
85 3 0.7004885227 0.0418920867 0.4339772689 0.0148148148 -0.13313889 0.0228333885 -0.0674989275 
86 3 0.7769120371 0.5034625089 0.05568536 0.0444444445 -0.0723865133 -0.1495229771 0.0201911532 
87 3 0.6661867801 0.3006729622 0.1283170489 0.0148148148 0.1543706044 -0.0105058259 0.0212296865 
88 3 0.8445110447 0.0263791743 0.6720049156 0.0148148148 -0.0575667371 -0.0170018231 0.0830080742 
89 3 0.5716386478 0.14271482 0.1692411089 0.0148148148 0.0394414433 -0.0348654568 0.0219411679 
90 3 0.7520056245 0.1853438022 0.3653538422 0.0148148148 0.2219920011 -0.0521762579 -0.0589439377 
91 3 0.6672118053 0.1751993689 0.2551574094 0.0148148148 -0.0105748431 0.0431651166 0.0300116045 
92 3 0.6328973318 0.1775190822 0.2082251356 0.0148148148 -0.0041539544 -0.0497577949 -0.0122759228 
93 3 0.681637086 0.3388495622 0.11096474 0.0148148148 0.1180573367 0.056264407 0.0391515583 
94 3 0.6562400837 0.310522206 0.1053140267 0.0148148148 0.0860360293 0.0529330675 0.0363888302 
95 3 0.6710234937 0.2527339921 0.1827237222 0.0148148148 0.0400620617 -0.0362373535 0.0354449698 
96 3 0.6862230015 0.1595166822 0.2669408811 0.0444444445 -0.122270632 -0.0684915588 0.1035343122 
97 3 0.7002227269 0.0827671644 0.3927298882 0.0148148148 -0.0502025268 -0.0314360017 -0.0132057257 
98 3 0.8216830996 0.4855974658 0.1747508356 0.0148148148 -0.2079073598 0.064075784 -0.0507848527 
99 3 0.734790839 0.0425961156 0.4825066467 0.0148148148 -0.02052446 0.0250854566 -0.0076512938 
100 3 0.5723270191 0.1905031064 0.1222402956 0.0148148148 0.0213121247 0.0507997709 -0.006647187 
101 3 0.5735666056 0.1718274756 0.1571511756 0.0 -0.0145155378 0.0 0.0 
102 3 0.7183847509 0.3624290156 0.13883282 0.0148148148 -0.1481557533 -0.0707436269 0.0200448405 
103 3 0.73520715 0.0201040622 0.4759810467 0.0444444445 0.0889494533 0.0275584282 0.1453745816 
104 3 0.7830901793 0.5311889756 0.0375968089 0.0444444445 0.0504888089 0.1533098941 0.0120320683 
105 3 0.7216585522 0.4926968822 0.0132793689 0.0148148148 0.0310697044 -0.0749522688 -0.0109418952 
106 3 0.7708263229 0.2776669956 0.27206178 0.0444444445 0.24449018 -0.1088050122 -0.1059390045 
107 3 0.7823767545 0.4928134756 0.1044850956 0.0148148148 -0.2241145378 0.074854727 -0.0370142453 
108 3 0.8128386009 0.4141816467 0.2020805 0.0444444445 0.28389515 0.13567491 0.0930806998 
109 3 0.5722643827 0.1270808467 0.1855908622 0.0148148148 0.0032284133 0.015035782 -0.0487938524 
110 3 0.699864609 0.1092607872 0.3657348689 0.0148148148 0.0958030272 0.0380613852 0.054310702 
111 3 0.7200338598 0.0751475356 0.4284864089 0.0148148148 -0.0351519978 -0.0229768323 0.0674013857 
112 2 0.4271088025 0.1214871025 0.04426816 0.0166666667 -0.07333492 -0.0449976115 0.0271625232 
113 2 0.5222372258 0.01527696 0.25745476 0.0 -0.06271464 0.0 0.0 
114 2 0.5431900335 0.2600490025 0.03500641 0.0 0.095411645 0.0 0.0 
115 2 0.5497369295 0.0093412225 0.2762028025 0.0166666667 0.0507944075 0.0124774613 0.0678482133 
116 2 0.5480180259 0.28323684 4.2025e-04 0.0166666667 -0.0109101 -0.0687067246 0.0026465386 
117 2 0.4500853132 0.1821155625 0.00379456 0.0166666667 0.0262878 0.0550931881 0.0079525258 
118 2 0.5206381773 0.1725156225 0.0818818225 0.0166666667 0.1188524025 -0.0536214544 -0.0369418062 
119 2 0.5846647678 0.113842134 0.21132409 0.0166666667 0.1551050785 0.0435587982 0.0593470148 
120 2 0.4599864823 0.19105641 0.0038644872 0.0166666667 -0.0271723215 -0.0564293674 0.008025467 
121 2 0.4700315725 0.01447209 0.1897909225 0.0166666667 -0.052408695 -0.0155306632 0.0562421732 
122 2 0.5923559677 0.34304449 0.0078411025 0.0 -0.051863735 0.0 0.0 
123 2 0.4507575114 0.0668481025 0.1196675649 0.0166666667 -0.0894402015 -0.0333786615 0.044659371 
124 2 0.5425044447 0.28837437 0.0059367025 0.0 0.0413762352 0.0 0.0 
125 2 0.4470553983 0.0252651025 0.15792676 0.0166666667 -0.06316673 -0.0205203568 0.0513041194 
126 2 0.6060033574 0.23309584 0.1174775625 0.0166666667 -0.1654797 -0.062329212 0.0442488347 
127 2 0.5766575341 0.3156754225 1.918225e-04 0.0166666667 0.0077816225 0.0725345231 0.0017880273 
128 2 0.4491797265 0.00276676 0.182329 0.0166666667 0.0224602 -0.0067906308 -0.055125463 
129 2 0.4162122806 0.1412632225 0.03196944 0.0 0.06720198 0.0 0.0 
130 2 0.4414006627 0.1852011225 0.0096334225 0.0 -0.0422388525 0.0 0.0 
131 2 0.5471898018 0.21003889 0.0727111225 0.0166666667 -0.123580595 0.0591662756 -0.0348116653 
132 2 0.5855229728 0.1586030625 0.1675674225 0.0166666667 -0.1630236375 -0.0514138539 0.0528468578 
133 2 0.639958065 0.1335537025 0.2759926225 0.0 -0.1919891575 0.0 0.0 
134 2 0.6415171744 8.555625e-04 0.4106887225 0.0 0.0187448625 0.0 0.0 
135 2 0.5249044453 0.21576025 0.04309776 0.0166666667 0.0964302 -0.0599666922 -0.0268010448 
136 2 0.4631730403 0.1964705625 0.0013920361 0.0166666667 0.0165376575 0.057223329 0.0048167003 
