freq	A0	A1	s	E1	E2	tan	N
740.000	108.621	752.280	0.027	82.335	2.174	0.027	5.000
750.000	125.926	777.941	0.021	85.159	1.743	0.021	5.000
760.000	101.590	739.301	0.015	80.936	1.187	0.015	5.000
770.000	127.150	746.753	0.039	81.701	3.187	0.039	5.000
780.000	2.605	747.086	0.044	81.689	3.520	0.044	5.000
790.000	-14.450	668.902	0.086	72.950	6.195	0.086	5.000
800.000	-81.902	689.329	0.060	75.328	4.493	0.060	5.000
810.000	-6.972	636.892	0.160	68.815	11.028	0.162	5.000
820.000	-25.518	642.901	0.107	69.992	7.469	0.107	5.000
830.000	-78.960	592.495	0.150	64.117	9.705	0.151	5.000
840.000	170.785	609.262	0.173	65.685	11.557	0.175	5.000
850.000	27.152	544.165	0.204	58.361	12.000	0.207	5.000
860.000	24.605	584.531	0.182	62.729	11.057	0.186	5.000
870.000	31.441	528.104	0.197	56.706	11.241	0.200	5.000
880.000	-12.778	546.853	0.215	58.486	12.714	0.218	5.000
890.000	-7.501	551.782	0.252	58.480	15.098	0.257	5.000
900.000	-61.096	418.513	0.396	42.263	17.395	0.420	5.000
910.000	50.099	426.093	0.444	42.125	20.041	0.476	5.000
920.000	-22.024	396.991	0.416	39.716	17.379	0.445	5.000
930.000	53.276	396.067	0.444	39.156	18.646	0.476	5.000
940.000	-16.114	421.179	0.435	41.837	19.080	0.468	5.000
950.000	57.873	327.073	0.600	29.480	20.300	0.685	5.000
960.000	-58.355	307.978	0.587	28.139	18.170	0.678	5.000
970.000	-11.220	256.295	0.878	17.772	21.687	1.210	5.000
980.000	-17.813	223.276	0.816	16.752	17.659	1.085	5.000
990.000	0.216	170.035	0.990	10.638	14.847	1.750	5.000
1000.000	3.071	194.462	1.058	10.420	18.361	1.883	5.000
1010.000	26.557	195.693	1.105	9.620	19.147	1.988	5.000
1020.000	-11.625	149.241	1.183	6.041	15.002	3.032	5.000
1030.000	-10.603	110.063	1.140	4.795	10.340	5.512	5.000
1040.000	6.455	125.837	1.086	6.790	11.528	8.422	5.000
1050.000	8.508	99.533	1.317	2.760	10.477	5.269	5.000
1060.000	17.546	80.466	1.331	2.213	8.454	23.112	5.000
1070.000	-0.638	68.506	1.132	2.822	6.440	6.572	5.000
1080.000	8.855	70.701	1.205	2.515	6.967	11.126	5.000
1090.000	-2.970	71.326	1.378	1.511	7.656	5.340	5.000
1100.000	-0.157	64.597	0.278	1.031	6.965	-0.140	5.000
1110.000	-4.025	59.929	1.304	1.716	6.331	3.697	5.000
1120.000	4.232	51.826	-0.093	1.631	5.407	-1.435	5.000
1130.000	-11.144	40.135	1.161	1.372	4.047	3.755	5.000
1140.000	8.341	38.291	-0.092	1.322	3.844	0.285	5.000
1150.000	-8.972	57.814	0.276	1.859	5.980	-1.512	5.000
1160.000	-0.074	34.486	1.134	1.388	3.311	5.349	5.000
1170.000	-2.588	33.719	-0.718	2.428	2.556	-1.052	5.000
1180.000	-13.504	7.768	0.067	0.799	2.445	0.395	5.000
1190.000	3.446	25.348	0.991	1.535	2.312	1.530	5.000
1200.000	-18.121	25.850	-0.248	2.241	1.599	-0.352	5.000
1250.000	7.211	23.520	-0.777	1.836	1.806	-0.983	5.000
1300.000	7.734	16.184	-0.283	1.702	0.495	-0.291	5.000
1350.000	7.771	37.165	1.180	1.549	3.763	2.429	5.000
1400.000	-8.791	-24.395	0.594	2.213	1.495	0.676	5.000
1450.000	-2.534	11.191	-0.728	0.915	0.815	-0.891	5.000
1500.000	0.204	-25.658	-0.503	2.462	1.354	-0.550	5.000
1550.000	-15.150	14.160	-0.924	0.935	1.237	-1.324	5.000
1600.000	-19.732	-19.410	0.995	1.158	1.782	1.539	5.000
1650.000	-12.874	-7.676	-0.145	0.832	0.121	-0.146	5.000
1700.000	16.416	9.780	-1.500	0.075	1.068	-14.149	5.000
