T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
530	126.94086	0.01627	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
540	126.92312	0.03975	1.00000	0.00000	7197.70000	2.64326	7197.70000	2.64326
550	126.90001	0.04355	1.00000	0.00000	7190.40000	11.56892	7190.40000	11.56892
560	126.92159	0.01540	1.00000	0.00000	7197.53333	1.45273	7197.53333	1.45273
570	126.91172	0.02878	1.00000	0.00000	7199.20000	1.20000	7199.20000	1.20000
580	126.93307	0.02706	1.00000	0.00000	7197.40000	2.06389	7197.40000	2.06389
590	126.91559	0.05237	0.99997	0.00006	7197.40000	3.84014	6838.25000	722.04814
600	126.90847	0.02383	0.99998	0.00004	7194.86667	4.05509	6955.46667	481.41482
610	126.94474	0.02352	1.00000	0.00000	7196.30000	2.80989	7196.30000	2.80989
620	126.93623	0.03549	0.99999	0.00003	7194.80000	4.82465	7015.42500	363.43779
630	126.90835	0.02414	0.99999	0.00003	7194.30000	5.06145	6835.20000	723.06266
640	126.92989	0.07040	0.99990	0.00014	7184.70000	8.54041	5748.70000	1682.11343
650	126.98867	0.06369	0.99983	0.00019	7183.86667	7.79822	4990.02233	1847.73214
660	127.01908	0.06596	0.99979	0.00033	7184.85000	9.07519	5270.23325	1904.96706
670	127.00646	0.11288	0.99982	0.00015	7164.90000	16.26512	4901.30000	1698.16941
680	127.00829	0.04912	0.99996	0.00005	7184.15000	7.51370	6466.05000	804.83986
690	127.01851	0.08256	0.99999	0.00003	7182.30000	12.54699	6822.85000	722.81900
700	127.00857	0.15091	0.99967	0.00039	7144.56000	29.36899	4829.28740	2130.33871
710	126.92277	0.11846	0.99972	0.00031	7154.30000	11.74444	4257.00500	1997.75970
720	126.91809	0.05148	0.99976	0.00031	7160.85000	25.34028	5644.21675	1493.16714
730	127.03662	0.12012	0.99949	0.00061	7137.80000	36.93914	4607.04450	2573.58189
740	126.97298	0.06274	0.99961	0.00044	7148.15000	20.71999	4064.33100	2083.96928
750	126.94038	0.05426	0.99956	0.00032	7145.60000	23.45340	2916.53333	1211.09352
760	126.92585	0.07265	0.99957	0.00052	7159.75000	19.14783	4081.80575	2026.40610
770	127.11367	0.18622	0.99914	0.00086	7141.80000	19.37472	2591.10400	815.58900
780	127.26538	0.50533	0.99801	0.00186	7056.15000	41.09095	1657.33800	952.11516
790	127.14372	0.32501	0.99790	0.00245	7025.70000	57.38201	1920.69700	982.53983
800	127.37067	0.34937	0.99867	0.00074	7054.20000	52.00463	1632.93220	717.81251
810	128.17159	0.59601	0.99519	0.00221	6862.30000	76.33828	578.41800	213.80510
820	126.85026	0.71621	0.99431	0.00293	6824.30000	92.90341	567.18800	208.63405
830	127.85061	0.64958	0.99199	0.00435	6710.50000	130.59321	436.77750	217.70153
840	126.49685	1.18984	0.99289	0.00308	6760.90000	116.99734	419.15150	147.93655
850	128.20062	0.83687	0.98929	0.00316	6588.20000	93.22317	284.92700	64.07967
860	128.47168	1.06245	0.99155	0.00433	6692.75000	134.40667	441.18175	256.32122
870	127.85305	0.55619	0.98982	0.00465	6579.40000	112.55608	292.37050	111.51377
880	128.24647	0.86593	0.98344	0.00729	6437.30000	141.69394	225.71700	96.07129
890	128.30568	1.24908	0.98036	0.00726	6219.10000	231.42156	151.38700	52.37964
900	127.73963	3.05518	0.96638	0.01221	5872.80000	199.64670	102.17440	28.66387
910	129.66901	4.43155	0.95362	0.00993	5625.00000	125.68911	72.24750	15.50027
920	129.52032	4.88436	0.95390	0.01699	5616.20000	312.85938	73.11100	17.48240
930	132.57423	12.00527	0.94216	0.01301	5483.40000	135.57965	60.00900	9.44666
940	128.54980	3.14990	0.95472	0.01338	5592.70000	219.18446	67.88700	18.24315
950	126.08816	12.38917	0.88065	0.07320	4846.13333	433.66097	36.84467	12.52193
960	133.20181	7.92916	0.89802	0.02800	4816.35000	322.32131	34.50475	8.55587
970	79.69916	11.01938	0.56562	0.08890	3679.40000	480.75511	16.73000	4.69102
980	73.47748	20.40483	0.44681	0.15228	3279.60000	387.32456	13.26150	3.21382
990	50.06435	16.20085	0.29414	0.09717	2701.90000	218.26840	8.94750	0.91778
1000	48.63744	13.31730	0.29284	0.09995	2560.92000	329.40723	8.55780	1.59704
1010	49.84587	14.13438	0.28289	0.08576	2596.50000	312.08963	8.58350	1.37124
1020	44.24460	12.75881	0.27439	0.08581	2187.25000	283.93673	6.82675	1.02750
1030	28.56678	9.51123	0.19319	0.07904	1640.30000	388.58015	4.78450	1.36224
1040	31.48140	14.63058	0.19324	0.08946	1622.50000	406.00742	4.78525	1.42827
1050	26.43247	7.29816	0.18020	0.05534	1342.80000	280.20963	3.73667	0.84547
1060	29.19777	13.24669	0.22104	0.09677	1281.05000	244.43132	3.70700	0.73658
1070	25.98110	7.53499	0.20350	0.07669	1173.10000	165.83669	3.40550	0.45561
1080	21.88870	9.83165	0.17716	0.07921	911.50000	191.30259	2.80375	0.57221
1090	12.21560	4.02911	0.09241	0.04519	804.20000	149.26325	2.35100	0.33067
1100	15.50127	4.90691	0.14084	0.04743	769.12000	158.88023	2.45520	0.45149
1110	17.52430	8.04715	0.16441	0.08836	779.00000	199.67582	2.50700	0.62989
1120	10.09169	4.35355	0.10816	0.05894	501.50000	95.24762	1.82675	0.27117
1130	8.21395	3.15314	0.06895	0.03495	502.70000	97.67353	1.79650	0.22033
1140	12.84578	5.97188	0.15101	0.07353	495.65000	122.59091	1.88350	0.38072
1150	7.63660	2.13298	0.08269	0.03847	405.80000	37.31171	1.57967	0.11353
1160	6.29285	2.36148	0.06894	0.02906	351.75000	61.90985	1.51050	0.17190
1170	5.46700	1.63886	0.05889	0.02521	324.70000	34.04247	1.42200	0.09523
1180	4.76208	2.80152	0.05855	0.04168	288.25000	56.72561	1.36675	0.15344
1190	4.11046	2.81898	0.05414	0.04593	251.80000	34.85281	1.28800	0.08794
1200	2.81031	0.93814	0.03286	0.01100	225.30000	36.53000	1.22750	0.05061
1250	4.18268	2.45447	0.07517	0.05299	156.60000	40.10786	1.22600	0.10144
1300	2.06595	0.98168	0.04138	0.01837	120.00000	18.07761	1.13800	0.00905
1350	3.34693	4.55124	0.10114	0.13910	104.80000	37.19355	1.22400	0.31409
1400	1.08047	0.16798	0.03816	0.01019	64.00000	5.54978	1.07000	0.01708
1450	0.52461	0.29238	0.03275	0.00299	54.40000	9.60417	1.02400	0.01734
1500	0.08787	0.17574	0.03087	0.00688	39.40000	9.85089	1.00400	0.00741
1550	0.39797	0.32636	0.04548	0.01140	35.00000	6.89928	1.01600	0.01379
1600	0.50969	0.42427	0.05226	0.02018	32.20000	5.70614	1.02900	0.02769
1650	0.17942	0.35884	0.05198	0.01679	23.60000	4.02989	1.00800	0.01667
1700	0.00000	0.00000	0.04755	0.00588	21.40000	3.00666	1.00000	0.00000
