# Cluster list (1874 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
17 34 2.0291103118 1.3623939884 1.1942222902 1.560672379 -8.9173950422e-04 -0.2058988727 0.2397118695 
18 32 2.1687440484 2.7602323912 1.1484716871 0.794746669 0.7270625761 0.7095847224 0.3880989775 
19 31 2.916711454 2.64851595 4.8797516326 0.9789381234 -0.9512496078 -0.0767316554 -1.3413202613 
20 27 2.5151958404 3.9554196647 0.6715128604 1.6992775906 -0.6705035885 0.4930596291 -0.3044459547 
21 25 1.9742139883 2.0461944461 1.1087042167 0.7426222089 0.4623251598 0.4142828062 0.1820242024 
22 24 1.8447058801 1.2417189675 1.3401340933 0.8210867233 -0.1712907109 0.4554636778 0.0785323656 
23 24 1.8603290055 1.022384265 1.3549175525 1.0835221911 -0.5524092855 0.0778906397 0.7649907983 
24 22 2.4349398192 0.9771708054 1.0518019658 3.8999591521 0.2721203066 0.0458099017 0.9195755299 
25 19 2.2096576881 1.2263690853 2.9473278137 0.7088901994 1.3615288574 -0.1695210968 -0.3499649121 
26 19 1.5330552557 0.849515134 0.9558520048 0.5448912782 -0.1081485975 0.1207393948 -0.1160013351 
27 18 1.9810653575 0.4579911307 2.480822801 0.9858060189 -0.6449715625 -0.2206082594 0.0974311168 
28 17 1.9128840774 0.2714621312 2.6803786683 0.707284694 0.3610992416 0.1762253549 0.5457159868 
29 17 1.6209764002 0.8671968387 0.6524914877 1.1078761637 0.2618881433 0.6018816777 0.0115658912 
30 17 1.6488475102 0.6420531298 0.9216507554 1.1549942267 0.0869630751 -0.1365658884 -0.6494312845 
31 16 1.3216951961 0.5320152237 0.6690455196 0.5458174481 -0.116628915 -0.1558142125 0.0091031258 
32 16 1.8819289078 0.8178664836 1.9605582559 0.7632316743 -0.4718622691 0.0539021201 0.9144223027 
33 16 1.9956707875 1.4156973706 1.508892054 1.0581124673 -0.7919081257 0.935683553 -0.854269289 
34 16 1.756540921 1.7014565398 0.7809541277 0.6030253396 0.6669172033 0.0904186129 0.0151657022 
35 16 1.9109776839 1.3600214975 1.8550740712 0.4367401398 0.4162176694 -0.2754095499 0.4084454324 
36 15 1.7571319135 1.8681874617 0.7034573986 0.5158677011 -0.451768911 0.5140476388 -0.3218748668 
37 14 1.6517566453 0.8995209366 0.6092972665 1.2194818122 -0.0707804338 0.0611491976 0.6253064207 
38 13 1.4323451728 0.3466125867 0.5037961075 1.2012039998 -0.0562577204 -0.4381859031 -0.2111332918 
39 13 1.9065005471 0.8812200986 2.0200446846 0.7334795529 -0.2463392414 -0.4299856169 0.5564279036 
40 13 1.8513299988 0.8026183413 0.6458439633 1.9789604598 -0.2629023142 -1.0474288575 0.464256458 
41 13 1.6872464056 1.5371063083 0.6211331908 0.6885609342 0.0574521895 0.0640788426 -0.2127540384 
42 12 1.7512110476 0.2733713972 1.5663336931 1.2270350431 -0.3317885472 0.4551690506 -0.8439946872 
43 12 1.8686980478 1.3486844689 0.759070455 1.38427747 -0.6682322818 -0.84324583 0.8585404647 
44 12 1.4344680808 0.5992653456 0.4018712409 1.0565620883 0.13567832 -0.2163166858 0.2086700013 
45 11 1.4581917554 0.7514529979 0.4111145625 0.9637556353 0.2188708563 0.4687060422 -0.1336015449 
46 11 1.5264929821 0.5016297886 0.4211482532 1.4074027826 0.2808588643 -0.443739589 -0.0341462615 
47 11 1.4374414697 0.3645369263 0.5924217861 1.1092792664 0.1558861613 -0.1297061375 -0.4270236463 
48 11 1.5914953061 0.3886776532 1.1687120663 0.9754675898 -0.2124564321 0.0118039289 0.3762286777 
49 10 1.4871369118 0.4839427641 0.6681859624 1.059447468 -0.3260281998 0.195122207 0.372622352 
50 10 1.5530337296 0.5013544443 1.3061810989 0.6043782222 0.162573734 0.1908372077 -0.4386768083 
51 10 1.4773540538 0.54361765 1.3675114387 0.2714459116 -0.3175480136 -0.071243741 0.0640974982 
52 9 1.3208592761 0.5998620188 0.3026866913 0.8421205173 -0.0454826687 -0.3645870663 -0.0455885098 
53 9 1.3447887058 0.9316621711 0.4647953764 0.4119991158 0.2320145606 -0.1977385019 -0.1456395066 
54 9 1.5002375951 0.7820477598 0.2109879158 1.2576771662 -0.2220631313 0.4040528034 0.0218963954 
55 9 1.285788909 0.4537372645 0.6414344462 0.5580814077 -0.0188423396 -0.1610073931 0.459355716 
56 9 1.2101698956 0.3052586232 0.726362193 0.43289036 -0.3363494273 -0.0492476137 -0.1809146154 
57 9 1.5513864349 0.4081904136 0.973847778 1.0247616786 0.319910198 0.2438610769 0.8061652839 
58 9 1.512075509 0.1645607156 1.1135376795 1.0082739498 -0.0411761681 0.165261679 0.720383145 
59 8 1.5596148126 1.5755108652 0.0905800411 0.7663074575 0.009566526 0.995853659 -0.0231221588 
60 8 1.2877623565 0.7083038675 0.4740330598 0.4759949594 -0.4069634625 -0.2417687775 0.2091164097 
61 8 1.0585324637 0.2908369143 0.41367646 0.4159776023 -0.1331604073 0.2857213242 -0.0840913994 
